"RefDes","Value","Name"
"C1","0.1uF","CAP_0805"
"C2","3.3uF","CAP_0805"
"C3","0.1uF","CAP_0805"
"C4","3.3uF","CAP_0805"
"C5","0.1uF","CAP_0805"
"C6","3.3uF","CAP_0805"
"C7","0.1uF","CAP_0805"
"C8","3.3uF","CAP_0805"
"C9","0.1uF","CAP_0805"
"C10","22pF","CAP_0805"
"C11","22pF","CAP_0805"
"C12","3.3uF","CAP_0805"
"C13","0.1uF","CAP_0805"
"C14","22uF","CAP_0805"
"C15","3.3uF","CAP_0805"
"C16","0.1uF","CAP_0805"
"C17","3.3uF","CAP_0805"
"C18","0.1uF","CAP_0805"
"C19","0.1uF","CAP_0805"
"C35","0.1u","CAP_0805"
"C36","22u","POLCAP"
"J1","","132203"
"J2","","132203"
"J3","","132203"
"J4","","132203"
"J5","","132203"
"J6","","132203"
"J7","","132203"
"J8","","132203"
"J9","","644456-6"
"R1","10k","RES_0805"
"R2","10k","RES_0805"
"R3","10k","RES_0805"
"R4","3.01k","RES_0805"
"R5","3.01k","RES_0805"
"R6","20.0k","RES_0805"
"R7","20.0k","RES_0805"
"R14","10k","RES_0805"
"R15","0","RES_0805"
"R27","68","RES_0805"
"R28","3.00k","RES_0805"
"R29","3.00k","RES_0805"
"TP30","","TESTPOINT"
"TP38","","TESTPOINT"
"TP39","","TESTPOINT"
"U1","","AMPLIFIER"
"U2","","AMPLIFIER"
"U3","","AMPLIFIER"
"U7","","ADS1256IDBT"
"U12","","TL431ACLP"
"Y1","","HC49S"
